,bookID,title,authors,quantity
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,7
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,19
2,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,19
3,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,19
4,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,11
5,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,15
6,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,15
7,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,15
8,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,23
9,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,11
10,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,23
11,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,23
12,21,A Short History of Nearly Everything,Bill Bryson,15
13,22,Bill Bryson's African Diary,Bill Bryson,7
14,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,7
15,24,In a Sunburned Country,Bill Bryson,15
16,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,7
17,26,The Lost Continent: Travels in Small Town America,Bill Bryson,7
18,27,Neither Here nor There: Travels in Europe,Bill Bryson,7
19,28,Notes from a Small Island,Bill Bryson,11
20,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,19
21,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,19
22,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,15
23,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,15
24,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,7
25,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,19
26,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,23
27,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,15
28,50,Hatchet (Brian's Saga  #1),Gary Paulsen,7
29,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,7
30,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,19
31,54,Molly Hatchet - 5 of the Best,Molly Hatchet,15
32,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,7
33,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,11
34,58,Changeling (Changeling  #1),Delia Sherman,7
35,59,The Changeling Sea,Patricia A. McKillip,15
36,61,The Changeling,Zilpha Keatley Snyder,11
37,63,The Changeling,Kate Horsley,23
38,66,The Changeling (Daughters of England  #15),Philippa Carr,19
39,67,The Known World,Edward P. Jones,7
40,68,The Known World,Edward P. Jones/Kevin R. Free,23
41,69,The Known World,Edward P. Jones,7
42,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,23
43,72,Artesia: Adventures in the Known World,Mark Smylie,19
44,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,11
45,75,Uncommon Carriers,John McPhee,19
46,76,Heirs of General Practice,John McPhee,19
47,77,The Control of Nature,John McPhee,7
48,78,Annals of the Former World,John McPhee,19
49,79,Coming Into the Country,John McPhee,15
50,80,La Place de la Concorde Suisse,John McPhee,19
51,81,Giving Good Weight,John McPhee,15
52,83,Rising from the Plains,John McPhee,19
53,85,The Heidi Chronicles,Wendy Wasserstein,19
54,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,11
55,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,15
56,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,23
57,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,19
58,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,7
59,93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,7
60,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,11
61,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,19
62,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,19
63,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,23
64,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,7
65,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,11
66,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,15
67,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,15
68,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,19
69,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,11
70,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,11
71,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,19
72,119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,7
73,122,The Power of One (The Power of One  #1),Bryce Courtenay,23
74,123,The Power of One (The Power of One  #1),Bryce Courtenay,23
75,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,23
76,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,7
77,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,11
78,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,11
79,133,eBay for Dummies,Marsha Collier,19
80,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,11
81,137,Starting an eBay Business for Dummies,Marsha Collier,7
82,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,11
83,139,ebay Timesaving Techniques for Dummies,Marsha Collier,7
84,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,7
85,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,15
86,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,11
87,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,11
88,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,11
89,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,7
90,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,15
91,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,7
92,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,23
93,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,23
94,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,11
95,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,11
96,159,Dinner with Anna Karenina,Gloria Goldreich,11
97,160,Tolstoy: Anna Karenina,Anthony Thorlby,7
98,162,Untouchable,Mulk Raj Anand/E.M. Forster,11
99,163,The Untouchable,John Banville,19
100,164,The Untouchables,Eliot Ness/Oscar Fraley,15
101,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,7
102,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,19
103,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,15
104,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,23
105,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,23
106,180,Wrinkles in Time,George Smoot/Keay Davidson,11
107,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,15
108,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,15
109,201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,11
110,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,7
111,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,19
112,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,19
113,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,15
114,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,23
115,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,23
116,216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,15
117,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,11
118,231,I am Charlotte Simmons,Tom Wolfe,23
119,237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,15
